ts	mode	target	debt_before	debt_after	status	note
2026-07-24T12:50	A	wiki/concepts/agentic-note-taking.md	2	0	keep	added missing page to index.md catalog
2026-07-25T00:00	A	(none)	0	0	skip	HEALTH_DEBT already 0; no MODE A work needed
2026-07-25T00:00	B	wiki/concepts/adversarial-code-review.md	0	0	keep	filled stub with multi-source synthesis (codex-plugin, running-ai-native-engineering-org, how-we-claude-code, mechanism-over-output, ai-native-engineering-org)
2026-07-26T00:00	A	(none)	0	0	skip	HEALTH_DEBT already 0; no MODE A iterations needed
2026-07-26T00:00	B	wiki/concepts/claude-code-hooks.md	0	0	keep	filled stub with full hooks concept page from official Anthropic docs
2026-07-26T00:00	C	wiki/concepts/claude-code-permissions.md	0	0	keep	grounded vs official docs; corrected 3-posture to 6-mode; added classifier model (Sonnet 5)
2026-07-26T00:00	C	wiki/concepts/claude-code-memory.md	0	0	keep	verified Auto Dream cadence; marked unverified; /dream not in official docs
2026-07-27T06:05	A	—	0	0	skip	HEALTH_DEBT already 0; no MODE A fixes needed
2026-07-28T02:30	A	—	0	0	skip	HEALTH_DEBT already 0 after Phase 1 build; no objective MODE A fix needed
2026-07-29T02:30	A	—	0	0	skip	HEALTH_DEBT already 0 after Phase 1 builds (2 new pages both indexed + linked); no objective MODE A fix needed
2026-07-29T02:35	B	wiki/concepts/doorway-effect.md	0	0	keep	new concept page (Radvansky event-boundary model) grounding Neuro Short #1; linked from conscious-vs-subconscious, neuro-scripts-batch-1, index
2026-07-30T02:30	A	—	0	0	skip	HEALTH_DEBT already 0 after Phase 1 build (new [[neuro-channel-benchmarks]] indexed+linked); no objective MODE A fix needed
2026-07-30T02:35	B	wiki/sources/enhancing-learning-rats-computational-protocol-2023.md	0	0	keep	Smolen computational-spacing result extended to a mammal; reciprocal links from Smolen/spacing-effect + index + Neuro bucket
2026-07-31T02:00	A	wiki/entities/codepath.md	3	1	keep	added [[codepath]] to index.md catalog (missing_from_index fix); debt 3→1
2026-07-31T02:01	A	wiki/entities/anthropic.md	1	0	keep	added point-in-time snapshot label; changed "later flagship"→"then-flagship" (stale_claim fix); debt 1→0
2026-07-31T02:10	A	(build check)	0	0	skip	HEALTH_DEBT 0 after Phase 2 build; no build-introduced debt
2026-08-01T02:00	A	(none)	0	0	skip	HEALTH_DEBT already 0; no Phase-1 fast-track heals needed tonight
2026-08-01T02:10	build	.claude/skills/token-context-management/SKILL.md	0	0	keep	Token max: new skill file (4-lever quick-ref); no score impact (skill files not scored)
2026-08-01T02:11	build	.claude/skills/orchestrate-agents/SKILL.md	0	0	keep	Agent max: new skill file (decision ladder + pitfall table); no score impact
2026-08-01T02:15	A	(build check)	0	0	skip	HEALTH_DEBT 0 after Phase 2 build; no build-introduced debt
2026-08-01T02:20	B	wiki/concepts/agentic-automation-patterns.md	0	0	keep	MODE B: new concept page filling dangling [[agentic-automation-patterns]] link; 5 patterns (HITL, retry/circuit-breaker, heartbeat loop, results log, scoped permissions) + anti-pattern table; web-grounded
2026-08-02T02:00	A	(none)	0	0	skip	HEALTH_DEBT already 0; no Phase-1 fast-track heals needed tonight
2026-08-02T02:10	build	wiki/concepts/skill-trigger-tuning.md	0	0	keep	Skill max: new concept page (trigger lifecycle, description patterns, A/B tuning, debug table); indexed + bucket linked
2026-08-02T02:11	build	wiki/concepts/claude-code-skills.md	0	0	keep	Train skills: enriched existing page (anatomy, 6-step workflow, Skill Creator section, examples table); no score impact (already indexed)
2026-08-02T02:15	A	(build check)	0	0	skip	HEALTH_DEBT 0 after Phase 2 build; no build-introduced debt
2026-08-02T02:20	B	wiki/concepts/claude-code-custom-commands.md	0	0	keep	MODE B: new concept page on .claude/commands/ slash commands + 2026 unification with skills; indexed + backlink from claude-code-skills
2026-08-07T06:17	A	wiki/concepts/claude-code-skill-creation-playbook.md	8	6	keep	added to index.md catalog (missing_from_index fix); debt 8→6
2026-08-07T06:17	A	wiki/concepts/writing-reliable-skills.md	6	4	keep	added to index.md catalog (missing_from_index fix); debt 6→4
2026-08-07T06:18	A	wiki/concepts/skill-authoring-playbook.md	4	2	keep	added to index.md catalog (missing_from_index fix); debt 4→2
2026-08-07T06:18	A	wiki/concepts/agent-skills.md	2	0	keep	added to index.md catalog (missing_from_index fix); debt 2→0; HEALTH_DEBT now 0
2026-08-16T02:11	A	(none)	0	0	skip	HEALTH_DEBT already 0; no Phase-1 fast-track heals needed tonight
2026-08-30T06:12	A	wiki/concepts/skill-authoring-playbook.md	16	10	keep	fixed 2 orphans: added [[startup-radar]] + [[skill-audit-worked-example]] to Related section; debt 16→10
2026-08-30T06:14	A	index.md (startup-radar)	10	8	keep	added startup-radar to index.md catalog; debt 10→8
2026-08-30T06:14	A	index.md (skill-audit-worked-example)	8	6	keep	added skill-audit-worked-example to index.md catalog; debt 8→6
2026-08-30T06:14	A	index.md (activate)	6	4	keep	added activate to index.md catalog; debt 6→4
2026-08-30T06:14	A	index.md (claude-api)	4	2	keep	added claude-api to index.md catalog; debt 4→2
2026-08-30T06:14	A	index.md (ply)	2	0	keep	added ply to index.md catalog; debt 2→0; HEALTH_DEBT now 0
